COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Malta,MLT,EURO,REPORTING,11-06-2023,1280143,450522,248.8,86.477,444900,85.398,23-12-2020,4,352633,67.688
Netherlands,NLD,EURO,REPORTING,11-09-2022,36105753,12776868,207.4,72.634,11957152,67.974,06-01-2021,6,9417108,53.535
Niger,NER,AFRO,REPORTING,12-03-2023,7339299,6217508,30.319,25.685,5454196,22.532,29-03-2021,2,,
Romania,ROU,EURO,REPORTING,11-06-2023,16110560,8187976,83.3,42.999,8142177,42.758,27-01-2021,4,1768737,9.288
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,02-06-2023,73443,37532,66.201,33.831,31632,28.513,01-02-2021,5,4279,3.857
Slovakia,SVK,EURO,REPORTING,11-06-2023,7221055,2839404,132.3,52.246,2791174,51.358,23-12-2020,7,1686230,31.027
Andorra,AND,EURO,REPORTING,21-05-2023,157059,57912,203.3,73.275,53500,67.692,20-01-2021,4,43068,54.493
Anguilla,AIA,AMRO,REPORTING,02-06-2023,24611,10854,164.051,72.35,10380,69.191,05-02-2021,2,3046,20.304
Bahamas,BHS,AMRO,REPORTING,02-06-2023,366359,174810,93.163,44.453,166972,42.46,14-03-2021,4,33717,8.574
Barbados,BRB,AMRO,REPORTING,02-06-2023,381721,163846,132.83,57.015,155036,53.949,08-01-2021,5,62839,21.867
Belarus,BLR,EURO,REPORTING,14-05-2023,21997703,6439812,232.8,67.234,6355081,66.35,03-02-2021,5,5713720,59.654
Belize,BLZ,AMRO,REPORTING,02-06-2023,510770,258456,128.454,64.999,221408,55.682,01-03-2021,5,50238,12.634
Benin,BEN,AFRO,REPORTING,18-12-2022,4232541,3697190,34.913,30.497,2742837,22.625,29-03-2021,5,,
Bermuda,BMU,AMRO,REPORTING,02-06-2023,132042,48554,212.037,77.97,47657,76.529,11-01-2021,3,31829,51.112
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,02-06-2023,16016290,7492606,137.208,64.187,6295624,53.933,30-01-2021,7,2487668,21.311
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,01-09-2021,35845,19109,137.934,73.533,16736,64.401,,2,,
Botswana,BWA,AFRO,REPORTING,07-05-2023,3171667,1951054,134.871,82.966,1663490,70.738,26-03-2021,6,507654,21.587
Cambodia,KHM,WPRO,REPORTING,08-08-2023,47477240,15304762,283.972,91.541,14679108,87.799,10-02-2021,7,10731005,64.185
Cameroon,CMR,AFRO,REPORTING,23-07-2023,4792066,3697853,18.052,13.93,3145137,11.848,12-04-2021,4,776588,2.925
Canada,CAN,AMRO,REPORTING,02-06-2023,97596974,32645232,258.589,86.495,31311576,82.962,14-12-2020,6,19776324,52.399
Chad,TCD,AFRO,REPORTING,16-07-2023,8559891,6254729,52.112,38.079,6127422,37.303,04-06-2021,1,4042573,24.611
Croatia,HRV,EURO,REPORTING,11-06-2023,5432701,2320124,133.9,60.107,2246534,58.166,23-12-2020,6,994415,25.747
French Polynesia,PYF,WPRO,REPORTING,01-05-2023,480028,190908,170.884,67.961,186803,66.5,18-01-2021,2,102317,36.424
Georgia,GEO,EURO,REPORTING,16-04-2023,2738178,1300473,68.6,34.606,1186709,31.578,17-03-2021,4,250996,6.679
Grenada,GRD,AMRO,REPORTING,02-06-2023,90686,44241,80.593,39.317,39034,34.69,15-02-2021,5,7411,6.586
Indonesia,IDN,SEARO,REPORTING,06-06-2023,447595845,203845350,163.641,74.526,174893201,63.941,13-01-2021,7,68857294,25.174
Iran (Islamic Republic of),IRN,EMRO,REPORTING,15-08-2023,155445801,65194977,185.07,77.62,58582625,69.747,09-02-2021,12,28576234,34.022
Kenya,KEN,AFRO,REPORTING,02-04-2023,23750431,14494372,44.169,26.956,11090440,20.625,05-03-2021,5,2000636,3.721
Kosovo,XKX,EURO,REPORTING,15-01-2023,1836901,904558,,50.758,824752,46.279,31-03-2021,2,105624,5.927
Liberia,LBR,AFRO,REPORTING,11-12-2022,4460668,3903802,88.196,77.186,3730967,73.768,01-04-2021,1,1987,0.039
Madagascar,MDG,AFRO,REPORTING,16-07-2023,3081827,2700391,11.129,9.752,2619045,9.458,10-05-2021,3,167393,0.605
Mauritania,MRT,AFRO,REPORTING,14-05-2023,4068530,2101236,87.502,45.191,1538089,33.08,26-03-2021,2,383866,8.256
Nepal,NPL,SEARO,REPORTING,20-06-2023,62086946,27804935,213.088,95.429,24389063,83.705,27-01-2021,8,9892948,33.953
Argentina,ARG,AMRO,REPORTING,07-10-2022,109652736,41324100,242.617,91.434,37840119,83.725,29-12-2020,7,30810184,68.17
Australia,AUS,WPRO,REPORTING,03-08-2023,68480571,22209605,268.552,87.097,21619793,84.784,21-02-2021,5,14407326,56.5
Bahrain,BHR,EMRO,REPORTING,21-12-2022,3476633,1241174,204.319,72.943,1226796,72.098,04-11-2020,11,1008663,59.278
British Virgin Islands,VGB,AMRO,REPORTING,02-06-2023,41453,19466,137.094,64.378,18261,60.393,11-02-2021,3,3726,12.323
Egypt,EGY,EMRO,REPORTING,21-05-2023,112673535,56907319,110.103,55.609,42337175,41.371,24-01-2021,10,15217352,14.87
El Salvador,SLV,AMRO,REPORTING,02-06-2023,11426688,4656627,176.169,71.793,4393762,67.74,17-02-2021,6,1898202,29.265
Eswatini,SWZ,AFRO,REPORTING,04-06-2023,870205,526050,75.007,45.343,427335,36.834,19-03-2021,3,179450,15.468
Greece,GRC,EURO,REPORTING,11-06-2023,21983798,7916555,205.1,75.686,7744795,74.044,23-12-2020,7,5902253,56.428
Guam,GUM,WPRO,REPORTING,31-01-2023,352698,135612,208.975,80.351,128788,76.308,04-01-2021,3,83603,49.535
India,IND,SEARO,REPORTING,27-06-2023,2206737729,1025823823,159.908,74.335,952120865,68.994,16-01-2021,8,228793041,16.579
Latvia,LVA,EURO,REPORTING,11-06-2023,2979616,1344368,156.2,71.677,1304768,69.56,30-12-2020,9,550859,29.367
Lesotho,LSO,AFRO,REPORTING,19-03-2023,1339097,1014073,62.509,47.337,938088,43.79,10-03-2021,3,177816,8.3
Luxembourg,LUX,EURO,REPORTING,11-06-2023,1337797,469270,213.7,72.71,462702,71.693,30-12-2020,8,368484,57.094
Montserrat,MSR,AMRO,REPORTING,02-06-2023,4619,2104,92.398,42.088,1952,39.048,08-02-2021,2,563,11.262
Namibia,NAM,AFRO,REPORTING,16-07-2023,1000136,624721,39.361,24.587,546606,21.512,19-03-2021,4,298560,11.75
Papua New Guinea,PNG,WPRO,REPORTING,06-08-2023,535582,392516,5.986,4.387,331556,3.706,30-03-2021,4,36119,0.404
Portugal,PRT,EURO,REPORTING,11-06-2023,27777341,9788002,269.8,94.714,8902934,86.002,23-12-2020,12,7054573,68.147
Qatar,QAT,EMRO,REPORTING,07-05-2023,7609178,2852178,264.111,98.998,2852178,98.998,,10,1904822,66.115
Saudi Arabia,SAU,EMRO,REPORTING,25-04-2023,68534631,27041364,196.86,77.674,25433941,73.057,06-01-2021,10,16059326,46.129
Senegal,SEN,AFRO,REPORTING,23-07-2023,3093024,2684696,18.473,16.034,1503332,8.978,23-02-2021,3,815965,4.873
Sint Maarten,SXM,AMRO,REPORTING,02-06-2023,66829,29788,155.844,69.465,26773,62.434,22-02-2021,3,9146,21.328
South Africa,ZAF,AFRO,REPORTING,04-06-2023,38882146,24210953,65.559,40.822,21038797,35.473,17-02-2021,2,4410601,7.437
Sri Lanka,LKA,SEARO,REPORTING,30-10-2022,40116590,17143761,187.345,80.061,14752827,68.896,29-01-2021,6,8220002,38.387
United Arab Emirates,ARE,EMRO,REPORTING,06-07-2022,24922054,9991089,251.982,101.018,9792266,99.008,,11,5138699,51.956
United States of America,USA,AMRO,REPORTING,02-06-2023,668882018,267321711,202.078,80.761,227948938,68.866,14-12-2020,4,116629517,35.235
Uzbekistan,UZB,EURO,REPORTING,11-06-2023,79381802,22077238,237.2,64.778,18318860,53.75,28-04-2021,9,16000801,46.949
Wallis and Futuna,WLF,WPRO,REPORTING,23-01-2023,17303,7150,153.859,63.578,6803,60.493,19-03-2021,1,3350,29.788
Solomon Islands,SLB,WPRO,REPORTING,04-07-2023,612700,335796,89.2,48.887,254016,36.981,23-03-2021,4,27896,4.061
Sudan,SDN,EMRO,REPORTING,02-04-2023,22598737,15207452,51.537,34.681,13416394,30.597,09-03-2021,11,3891363,8.874
Tonga,TON,WPRO,REPORTING,30-06-2023,204737,87375,193.705,82.667,77390,73.22,14-04-2021,2,38588,36.509
United Republic of Tanzania,TZA,AFRO,REPORTING,12-03-2023,39392419,34434933,65.946,57.647,32165791,53.848,28-07-2021,3,,
Uruguay,URY,AMRO,REPORTING,02-06-2023,9023199,3009801,259.755,86.645,2902437,83.554,27-02-2021,3,2079949,59.877
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,02-06-2023,37860994,22157232,133.145,77.92,14287370,50.244,22-02-2021,6,651502,2.291
Algeria,DZA,AFRO,REPORTING,04-09-2022,15267442,7840131,34.817,17.879,6481186,14.78,30-01-2021,4,575651,1.313
Angola,AGO,AFRO,REPORTING,23-07-2023,26521660,16177587,80.696,49.222,9209276,28.02,10-03-2021,1,2437087,7.415
Armenia,ARM,EURO,REPORTING,04-06-2023,2158796,1122646,72.9,40.224,996804,35.715,27-01-2021,10,45446,1.628
Aruba,ABW,AMRO,REPORTING,02-06-2023,216974,90449,203.224,84.717,84297,78.955,17-02-2021,2,35659,33.399
Brazil,BRA,AMRO,REPORTING,02-06-2023,513329718,188746389,241.499,88.797,171459392,80.664,17-01-2021,5,110382337,51.93
Burkina Faso,BFA,AFRO,REPORTING,23-07-2023,7893609,6089089,37.763,29.13,5232347,25.031,02-06-2021,3,4056,0.019
Costa Rica,CRI,AMRO,REPORTING,02-06-2023,13371989,4641899,262.499,91.123,4358863,85.567,24-12-2020,3,2957974,58.066
Dominica,DMA,AMRO,REPORTING,02-06-2023,67647,32995,93.966,45.832,30659,42.587,12-02-2021,5,3993,5.547
Finland,FIN,EURO,REPORTING,11-06-2023,13262633,4547390,240,81.961,4364869,78.671,23-12-2020,5,3088223,55.661
French Guiana,GUF,AMRO,REPORTING,02-06-2023,242193,100299,81.087,33.581,90464,30.288,13-01-2021,3,46331,15.512
Gabon,GAB,AFRO,REPORTING,05-02-2023,572672,311244,25.73,13.984,257471,11.568,23-03-2021,3,2592,0.116
Haiti,HTI,AMRO,REPORTING,02-06-2023,664150,521396,5.825,4.573,350403,3.073,,2,,
